,Negative words,Positive Words,Neutral Words
352,,,lord
353,,,ring
354,,,distinguished
355,,,exemplify
356,,,preference
357,,,settled
358,,,temptation
359,,,considered
360,,,diversification
361,,,mood
362,,,variety
363,,,refinement
364,,,imprint
365,,,humanity
366,,,reference
367,,,childhood
368,,,report
369,,,gender
370,,,difference
371,,,sex
372,,,role
373,,,kingdom
374,,,cite
375,,,book
376,,,maint
377,,,location
378,,,publisher
379,,,link
380,,,reason
381,,,robin
382,,,survive
383,,,listen
384,,,child
385,,,magic
386,,,year
387,,,york
388,,,state
389,,,cite
390,,,pine
391,,,birth
392,,,infant
393,,,individuation
394,,,cite
395,,,child
396,,,family
397,,,world
398,,,kingdom
399,,,penguin
400,,,book
401,,,theory
402,,,emotion
403,,,turner
404,,,june
405,,,origin
406,,,emotion
407,,,sociological
408,,,inquiry
409,,,evolution
410,,,affect
411,,,university
412,,,press
413,,,athar
414,,,khan
415,,,june
416,,,fuzzy
417,,,inference
418,,,system
419,,,synergy
420,,,estimation
421,,,simultaneous
422,,,agent
423,,,international
424,,,scientific
425,,,engineering
426,,,research
427,,,aria
428,,,pedro
429,,,kemp
430,,,synthesis
431,,,collaborative
432,,,review
433,,,review
434,,,lane
435,,,neuroanatomical
436,,,correlate
437,,,psychiatry
438,,,pardo
439,,,may
440,,,neural
441,,,self
442,,,induced
443,,,dysphoria
444,,,post
445,,,march
446,,,brain
447,,,transient
448,,,woman
449,,,subjective
450,,,face
451,,,effect
452,,,resource
453,,,one
454,,,journal
455,,,pone
456,,,import
457,,,therapy
458,,,new
459,,,review
460,,,spring
461,,,parson
462,,,august
463,,,dove
464,,,return
465,,,psychoanalysis
466,,,singer
467,,,tania
468,,,pia
469,,,ray
470,,,pupillary
471,,,central
472,,,affective
473,,,scan
474,,,perception
475,,,empathy
476,,,emotion
477,,,emotion
478,,,personality
479,,,speech
480,,,technology
481,,,springer
482,,,lee
483,,,acoustic
484,,,expressed
485,,,speech
486,,,pitch
487,,,pattern
488,,,aloud
489,,,prose
490,,,basis
491,,,selected
492,,,language
493,,,vocal
494,,,emotion
495,,,direction
496,,,science
497,,,communication
498,,,emotion
499,,,paradigm
500,,,communication
501,,,poetics
502,,,modern
503,,,study
504,,,renaissance
505,,,literature
506,,,culture
507,,,ring
508,,,road
509,,,middle
510,,,earth
511,,,mythology
512,,,sister
513,,,definition
514,,,beyond
515,,,simple
516,,,perception
517,,,soc
518,,,advancement
519,,,versus
520,,,subjugation
521,,,status
522,,,conferral
523,,,gray
524,,,permanent
525,,,link
526,,,way
527,,,negotiator
528,,,cognition
529,,,strategy
530,,,august
531,,,attribution
532,,,role
533,,,judgment
534,,,introductory
535,,,infusion
536,,,model
537,,,aim
538,,,bower
539,,,mood
540,,,person
541,,,perception
542,,,judgment
543,,,emotion
544,,,function
545,,,psychology
546,,,list
547,,,emotion
548,,,aesthetic
549,,,vicarious
550,,,enthrallment
551,,,flow
552,,,indulgence
553,,,first
554,,,sight
555,,,mono
556,,,aware
557,,,grandiosity
558,,,chronic
559,,,nihilism
560,,,reclusion
561,,,related
562,,,consciousness
563,,,education
564,,,measure
565,,,psychology
566,,,forecasting
567,,,science
568,,,spectrum
569,,,affectivity
570,,,appeal
571,,,amygdala
572,,,hijack
573,,,art
574,,,memory
575,,,music
576,,,sleep
577,,,functional
578,,,account
579,,,group
580,,,homeostatic
581,,,conversation
582,,,work
583,,,aperture
584,,,blackmail
585,,,competence
586,,,eating
587,,,quotient
588,,,intimacy
589,,,lability
590,,,labor
591,,,lateralization
592,,,literacy
593,,,prosody
594,,,reasoning
595,,,responsivity
596,,,thought
597,,,method
598,,,emotionality
599,,,bounded
600,,,culture
601,,,decision
602,,,making
603,,,workplace
604,,,virtual
605,,,moral
606,,,self
607,,,conscious
608,,,sociology
609,,,tone
610,,,interaction
611,,,executive
612,,,system
613,,,meta
614,,,emotion
615,,,pathognomy
616,,,pathos
617,,,development
618,,,stoic
619,,,appraisal
620,,,discrete
621,,,somatic
622,,,indicate
623,,,name
624,,,foreign
625,,,control
626,,,national
627,,,state
628,,,japan
629,,,republic
630,,,index
631,,,title
632,,,category
633,,,short
634,,,description
635,,,indefinitely
636,,,semi
637,,,article
638,,,statement
639,,,march
640,,,project
641,,,hidden
642,,,external
643,,,welsh
644,,,language
645,,,language
646,,,language
647,,,language
648,,,german
649,,,language
650,,,identifier
651,,,last
652,,,text
653,,,available
654,,,common
655,,,attribution
656,,,license
657,,,additional
658,,,term
659,,,apply
660,,,site
661,,,use
662,,,privacy
663,,,policy
664,,,registered
665,,,foundation
666,,,non
667,,,organization
668,,,policy
669,,,disclaimer
670,,,contact
671,,,code
672,,,conduct
673,,,mobile
674,,,view
675,,,developer
676,,,statistic
677,,,statement
678,,,width
